amfi_code,CAGR,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Maximum_Drawdown,return_3yr_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,score_3yr,score_sharpe,score_alpha,score_expense,score_drawdown,Fund_Score,Tracking_Error
120505,0.3282740607461121,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.0005490042506317,-0.1818851357211629,18.08,1.36,8.0,5.0,3.0,15.0,25.0,82.5,90.0,95.0,65.0,40.0,80.0,0.23312357538323944
120843,0.3090745475400549,1.3067439695428409,2.3643200321667184,0.2733046503830605,-0.0228295697924265,-0.1297396816518679,15.65,1.45,11.0,2.0,5.0,22.0,13.0,75.0,97.5,90.0,47.5,70.0,79.0,0.20514776699717424
100033,0.3012315310072722,1.093698743534631,1.8291339615146944,0.2719535450128533,0.0051035258305283,-0.1621720857464485,16.58,1.38,10.0,7.0,6.0,17.0,20.0,77.5,85.0,87.5,60.0,52.5,76.25,0.2297551098545287
119598,0.3242353615245461,0.9453082575156097,1.675316570012552,0.3033696538698332,-0.0231960620440597,-0.2870600572176455,23.39,1.43,1.0,14.0,1.0,21.0,36.0,100.0,67.5,100.0,50.0,12.5,75.625,0.27803293056948225
148567,0.3097410750185903,1.4482911703262598,2.385644373368818,0.2698375144191807,0.0236835580758486,-0.1126572907502827,14.81,1.46,17.0,1.0,7.0,23.0,8.0,60.0,100.0,85.0,45.0,82.5,75.0,0.19399579209820508
149324,0.3228744045157361,0.9497958246616032,1.6197931764914093,0.3005787817097677,0.0114551599605207,-0.3117190030063422,20.08,1.52,6.0,13.0,2.0,26.5,37.0,87.5,70.0,97.5,36.25,10.0,69.6875,
149323,0.2958108691043399,1.1321218524747243,1.8751010639192085,0.2659857754204304,-0.0025230046646992,-0.1724810575345138,17.16,1.61,9.0,6.0,8.0,38.0,22.0,80.0,87.5,82.5,7.5,47.5,68.25,
120504,0.2329511862010305,1.0265242847993,1.8052937940992548,0.2119482701352573,0.016232169761417,-0.1258827560692251,14.41,0.8,20.0,10.0,13.0,12.0,12.0,52.5,77.5,70.0,72.5,72.5,67.25,
119094,0.2821441719365203,0.9982309868636412,1.7037974802463005,0.2607666908004223,-0.0662654286280375,-0.2096088386203919,15.18,1.38,15.0,11.0,9.0,17.0,28.0,65.0,75.0,80.0,60.0,32.5,66.5,
148569,0.3194952310833252,1.2349300257743294,2.146913926346055,0.2827036785246582,0.0181338840838592,-0.1639674294693263,13.58,1.6,23.0,3.0,4.0,36.5,21.0,45.0,95.0,92.5,11.25,50.0,62.4375,
